
Текущий номер цикла: 0
Напряжения в узлах
i    Uмодуль      Uфаза
1 530,0000	0,0000
13,48 0,0000	0,0109	0,5141
14,49 0,0000	0,0001	-0,0454
15,55 0,0000	0,0000	0,0004
16,34 0,0000	1498,8593	-191,2135
16,37 149,0497	1992,1063	-323,6869
17,18 8,0708	101,5358	-38,6983
17,32 2,8986	36,4659	30,2183
18,23 6,0094	76,4529	67,5133
18,28 27,9481	355,7027	-62,3235
18,30 0,5594	6,0807	-11,9659
18,31 39,8445	529,8073	-146,8104
19,24 8,0480	83,1299	-17,7405
19,32 1,9184	20,2911	-26,1563
19,59 4,3478	46,0110	-28,1603
20,22 0,0000	1210,6342	91,8075
21,29 64,8982	1840,3977	-242,4210
21,33 8,6913	213,6909	38,9486
23,24 0,0000	17,6177	9,8191
23,32 0,0000	27,8430	1,4032
24,25 124,2859	1320,0669	-198,0294
25,26 1,3260	21,2155	7,7455
26,27 5,5119	68,8988	22,5528
27,28 7,5085	78,8390	28,0753
28,30 19,7524	209,1433	50,3576
28,31 16,4913	201,8761	-84,4869
33,54 31,7734	781,9785	-205,9295
34,35 249,3350	2399,3980	-283,6180
34,39 143,3450	1791,8130	-251,4409
35,36 155,0691	1815,9407	164,2396
35,39 6,8516	65,7758	32,1771
36,55 105,1599	1086,6527	249,3041
37,38 59,7905	840,4834	-109,2322
37,40 41,5556	460,8897	-40,5722
38,39 29,7421	371,7765	-9,7354
39,42 298,3581	3984,0107	28,2395
40,41 91,3017	992,4095	228,1180
40,42 4,5228	51,9213	-50,1559
41,44 57,8548	61,3261	32,3463
42,50 168,5197	1933,0202	297,9593
43,45 402,9086	8863,9885	313,9074
44,49 34,7425	326,9881	86,2948
44,50 8,0741	74,9742	-12,6609
45,46 102,7172	2443,1339	327,3987
46,54 18,0938	440,5148	235,4527
47,55 21,5544	196,2988	-84,4206
48,49 2,5116	24,0238	-49,8999
48,51 30,4818	317,6125	22,1341
51,52 5,7468	66,0880	10,0573
51,53 5,4394	62,5537	7,3202
51,56 11,8964	126,7471	-22,2269
51,58 0,1157	13,0217	0,2543
55,56 11,4775	108,2537	93,5949
56,57 2,6944	27,3424	19,1080
57,58 18,6755	188,4531	3,3732
58,59 87,1350	793,8080	147,7048
59,60 0,4813	5,1486	4,6102
59,63 0,0000	0,6892	1,8856
60,63 0,0000	0,8618	-2,7246
61,62 11,2742	43,6874	-33,8363

Потери мощности в трансформаторах
i,j,     dPTM,     dQTM,    dPTC,    dPQC
19,21 0,0000	45,2317	0,0000	0,0000
19,22 0,0000	393,1210	0,0000	0,0000
28,29 0,0000	1033,3288	0,0000	0,0000
38,43 0,0000	5227,7894	0,0000	0,0000
45,50 0,0000	373,4223	0,0000	0,0000
46,47 0,0000	73,8714	0,0000	0,0000
51,62 0,0000	2035,1893	0,0000	0,0000
52,54 0,0000	731,8629	0,0000	0,0000
53,54 0,0000	741,5763	0,0000	0,0000
58,61 0,0000	1878,9884	0,0000	0,0000
